zip_code,population,median_income,median_age
02584,24.0,,
02601,17178.0,63432.0,39.7
02630,1922.0,135735.0,51.0
02631,10176.0,96133.0,56.0
02632,11929.0,114936.0,48.8
02633,4667.0,91974.0,66.2
02635,3007.0,94844.0,57.4
02637,323.0,207878.0,66.2
02638,3146.0,105639.0,61.5
02639,3308.0,57679.0,51.1
02641,319.0,,66.8
02642,5724.0,80167.0,59.8
02644,3838.0,119779.0,50.6
02645,10930.0,84693.0,56.4
02646,1950.0,70980.0,65.5
02647,159.0,,46.7
02648,7774.0,130177.0,50.1
02649,15144.0,90465.0,53.7
02650,1024.0,61276.0,62.8
02652,996.0,,65.0
02653,6322.0,89375.0,63.2
02655,3441.0,95563.0,56.8
02657,3630.0,91447.0,56.1
02659,916.0,72969.0,59.8
02660,6604.0,85963.0,58.0
02663,462.0,,60.4
02664,9282.0,76448.0,58.0
02666,631.0,89333.0,65.2
02667,3890.0,97438.0,58.5
02668,2465.0,108651.0,40.8
02670,1340.0,81250.0,61.9
02671,750.0,97865.0,64.3
02672,28.0,,
02673,9246.0,69167.0,45.1
02675,7185.0,104741.0,59.2
02702,4416.0,121060.0,40.2
02703,46356.0,91458.0,39.7
02713,32.0,73125.0,63.5
02715,3620.0,114899.0,49.7
02717,4783.0,134948.0,42.4
02718,7213.0,98848.0,40.7
02719,15899.0,86676.0,48.7
02720,30558.0,60076.0,40.9
02721,26807.0,51958.0,38.2
02723,17164.0,43579.0,36.1
02724,18445.0,46120.0,40.0
02725,2359.0,129235.0,48.1
02726,15907.0,103508.0,46.4
02738,5305.0,111351.0,49.9
02739,6511.0,110179.0,57.3
02740,46623.0,51599.0,36.8
02743,10466.0,88273.0,46.4
02744,12465.0,52290.0,34.0
02745,25084.0,70338.0,42.1
02746,16286.0,39545.0,30.9
02747,21383.0,94831.0,39.0
02748,11431.0,105108.0,50.0
02760,29149.0,104360.0,41.7
02762,9814.0,99720.0,44.1
02763,1601.0,106667.0,37.0
02764,4463.0,119545.0,38.2
02766,19177.0,112284.0,39.8
02767,15432.0,110573.0,40.8
02769,12614.0,124306.0,47.0
02770,5564.0,114313.0,43.0
02771,15475.0,108479.0,47.0
02777,17158.0,110975.0,44.9
02779,6768.0,140000.0,42.1
02780,51915.0,68948.0,40.2
02790,16431.0,90691.0,50.5
02791,371.0,99490.0,64.4
02802,702.0,113056.0,58.7
02804,2560.0,101211.0,45.8
02806,17121.0,145028.0,42.9
02807,962.0,66652.0,53.5
02808,2328.0,78214.0,41.4
02809,22420.0,91382.0,40.6
02812,1038.0,107188.0,52.6
02813,7998.0,103182.0,53.1
02814,7444.0,103605.0,48.4
02815,134.0,201500.0,53.4
02816,33148.0,94026.0,44.1
02817,6535.0,119137.0,43.6
02818,19876.0,120219.0,46.0
02822,6241.0,103289.0,38.8
02823,17.0,,
02824,291.0,,38.7
02825,5872.0,107653.0,44.8
02826,396.0,73491.0,63.5
02827,2286.0,96401.0,45.3
02828,7263.0,92340.0,51.6
02829,82.0,,17.9
02830,6766.0,118790.0,45.0
02831,3840.0,129122.0,38.9
02832,4887.0,102643.0,39.6
02833,670.0,,43.2
02835,5554.0,131875.0,58.3
02836,87.0,25658.0,55.8
02837,3622.0,136389.0,59.3
02838,3468.0,72278.0,36.9
02839,1598.0,95154.0,39.8
02840,23847.0,81307.0,39.8
02841,1240.0,,23.8
02842,17009.0,97555.0,44.3
02852,23382.0,103764.0,45.4
02857,8031.0,106250.0,49.1
02858,286.0,89960.0,34.7
02859,7295.0,114726.0,38.1
02860,47677.0,54462.0,36.5
02861,27527.0,78977.0,38.1
02863,22359.0,43092.0,31.5
02864,36142.0,109746.0,45.0
02865,18306.0,110639.0,44.0
02871,17748.0,107360.0,48.4
02872,98.0,,70.5
02873,97.0,42266.0,60.0
02874,6376.0,136473.0,44.0
02875,176.0,87076.0,35.3
02876,659.0,,59.2
02878,16324.0,92444.0,48.3
02879,22369.0,112409.0,49.0
02881,7177.0,62829.0,19.8
02882,13238.0,90507.0,43.7
02885,11117.0,81575.0,50.8
02886,30540.0,81788.0,41.7
02888,18443.0,81505.0,45.2
02889,28209.0,81226.0,45.3
02891,22026.0,89243.0,52.0
02892,5920.0,130875.0,40.9
02893,30909.0,71851.0,41.2
02894,609.0,79130.0,48.4
02895,43163.0,54483.0,35.4
